source,ipAddress,port,country,protocols,anonymityLevel
freeproxylist,179.27.53.4,8080,uy,http,transparent
freeproxylist,129.205.143.143,53281,za,http,transparent
freeproxylist,37.29.48.78,8080,ru,http,transparent
freeproxylist,128.201.92.33,53281,,http,transparent
freeproxylist,91.221.242.1,8080,ru,http,transparent
freeproxylist,118.98.123.19,53281,id,http,transparent
freeproxylist,210.59.176.243,8080,tw,http,transparent
freeproxylist,177.47.228.38,53281,br,http,transparent
freeproxylist,218.158.29.10,808,kr,http,transparent
freeproxylist,177.86.202.209,53281,br,http,transparent
freeproxylist,103.218.27.41,8080,sg,http,transparent
freeproxylist,178.62.251.66,80,nl,http,transparent
freeproxylist,61.221.173.16,8080,tw,http,transparent
freeproxylist,177.22.111.230,3128,br,http,transparent
freeproxylist,America,NaN,,http,
freeproxylist,Brazil,NaN,,http,
freeproxylist,Canada,NaN,,http,
freeproxylist,United States(CA, FL, GA, IL,MO, NJ, NY, TX),NaN,,http,
freeproxylist,Russia,NaN,,http,
freeproxylist,Switzerland,NaN,,http,
freeproxylist,Asia,NaN,,http,
freeproxylist,Hong Kong,NaN,,http,
freeproxylist,India,NaN,,http,
freeproxylist,Japan,NaN,,http,
freeproxylist,Singapore,NaN,,http,
freeproxylist,185.20.238.154,4145,at,socks4,anonymous
freeproxylist,185.249.230.142,4145,,socks4,anonymous
freeproxylist,195.117.15.201,4145,pl,socks4,anonymous
freeproxylist,193.235.43.61,4145,it,socks4,anonymous
freeproxylist,195.128.119.46,4145,pl,socks4,anonymous
freeproxylist,192.162.165.82,4145,pl,socks4,anonymous
freeproxylist,185.249.230.183,4145,,socks4,anonymous
freeproxylist,185.140.232.233,4145,ir,socks4,anonymous
freeproxylist,185.249.230.216,4145,,socks4,anonymous
freeproxylist,185.249.230.159,4145,,socks4,anonymous
freeproxylist,195.244.37.167,4145,tr,socks4,anonymous
freeproxylist,185.20.237.231,4145,at,socks4,anonymous
freeproxylist,185.249.230.252,4145,,socks4,anonymous
freeproxylist,188.124.30.29,4145,tr,socks4,anonymous
freeproxylist,185.112.151.88,4145,ir,socks4,anonymous
freeproxylist,185.249.230.184,4145,,socks4,anonymous
freeproxylist,185.249.230.119,4145,,socks4,anonymous
freeproxylist,185.249.230.235,4145,,socks4,anonymous
freeproxylist,185.249.230.20,4145,,socks4,anonymous
freeproxylist,185.249.230.12,4145,,socks4,anonymous
freeproxylist,185.140.232.254,4145,ir,socks4,anonymous
freeproxylist,89.16.212.64,4145,at,socks4,anonymous
freeproxylist,185.249.230.117,4145,,socks4,anonymous
freeproxylist,195.252.54.245,4145,se,socks4,anonymous
freeproxylist,185.249.230.106,4145,,socks4,anonymous
freeproxylist,185.249.230.71,4145,,socks4,anonymous
freeproxylist,194.190.93.207,4145,ru,socks4,anonymous
freeproxylist,195.116.202.234,4145,pl,socks4,anonymous
freeproxylist,185.249.230.79,4145,,socks4,anonymous
freeproxylist,185.249.230.84,4145,,socks4,anonymous
freeproxylist,185.100.25.33,4145,ru,socks4,anonymous
freeproxylist,185.129.56.46,4145,ru,socks4,anonymous
freeproxylist,185.249.230.56,4145,,socks4,anonymous
freeproxylist,195.133.233.94,4145,ru,socks4,anonymous
freeproxylist,185.249.230.190,4145,,socks4,anonymous
freeproxylist,185.249.230.182,4145,,socks4,anonymous
freeproxylist,185.212.64.252,4145,,socks4,anonymous
freeproxylist,185.249.230.228,4145,,socks4,anonymous
freeproxylist,89.16.212.55,4145,at,socks4,anonymous
freeproxylist,195.117.15.30,4145,pl,socks4,anonymous
freeproxylist,193.178.167.167,4145,pl,socks4,anonymous
freeproxylist,188.124.62.172,4145,ru,socks4,anonymous
freeproxylist,185.249.230.77,4145,,socks4,anonymous
freeproxylist,193.107.8.61,4145,pl,socks4,anonymous
freeproxylist,195.192.108.70,4145,at,socks4,anonymous
freeproxylist,185.28.61.2,4145,tr,socks4,anonymous
freeproxylist,185.249.230.155,4145,,socks4,anonymous
freeproxylist,185.33.237.227,4145,ru,socks4,anonymous
freeproxylist,185.249.230.170,4145,,socks4,anonymous
freeproxylist,185.249.230.130,4145,,socks4,anonymous
freeproxylist,185.46.109.182,4145,ir,socks4,anonymous
freeproxylist,185.249.230.16,4145,,socks4,anonymous
freeproxylist,185.249.230.157,4145,,socks4,anonymous
freeproxylist,185.249.230.74,4145,,socks4,anonymous
freeproxylist,185.26.193.51,4145,ru,socks4,anonymous
freeproxylist,185.20.238.155,4145,at,socks4,anonymous
freeproxylist,195.133.212.134,4145,ru,socks4,anonymous
freeproxylist,195.117.211.66,4145,pl,socks4,anonymous
freeproxylist,185.249.230.4,4145,,socks4,anonymous
freeproxylist,195.72.251.146,4145,ru,socks4,anonymous
freeproxylist,185.249.230.226,4145,,socks4,anonymous
freeproxylist,185.249.230.196,4145,,socks4,anonymous
freeproxylist,194.135.39.110,4145,ua,socks4,anonymous
freeproxylist,185.249.230.160,4145,,socks4,anonymous
freeproxylist,185.112.151.75,4145,ir,socks4,anonymous
freeproxylist,194.190.93.157,4145,ru,socks4,anonymous
freeproxylist,185.20.238.148,4145,at,socks4,anonymous
freeproxylist,185.249.230.15,4145,,socks4,anonymous
freeproxylist,185.249.230.199,4145,,socks4,anonymous
freeproxylist,194.135.44.57,4145,ua,socks4,anonymous
freeproxylist,185.249.230.165,4145,,socks4,anonymous
freeproxylist,183.27.195.143,4145,cn,socks4,anonymous
freeproxylist,185.112.148.234,4145,ir,socks4,anonymous
freeproxylist,185.249.230.33,4145,,socks4,anonymous
freeproxylist,185.249.230.110,4145,,socks4,anonymous
freeproxylist,185.33.237.255,4145,ru,socks4,anonymous
freeproxylist,185.226.99.149,4145,,socks4,anonymous
freeproxylist,183.27.195.203,4145,cn,socks4,anonymous
freeproxylist,185.33.239.126,4145,ru,socks4,anonymous
freeproxylist,194.135.9.26,4145,ru,socks4,anonymous
freeproxylist,81.198.247.70,8080,lv,http,elite
freeproxylist,91.233.46.35,41258,ru,http,elite
freeproxylist,121.166.157.33,8080,kr,http,anonymous
freeproxylist,139.5.153.86,53281,id,http,elite
freeproxylist,95.67.83.26,31280,ua,http,elite
freeproxylist,95.79.59.204,8080,ru,http,elite
freeproxylist,176.115.100.142,41258,ua,http,elite
freeproxylist,59.13.99.7,8080,kr,http,elite
freeproxylist,114.134.187.162,53281,kh,http,elite
freeproxylist,125.167.66.44,53281,id,http,elite
freeproxylist,176.37.14.252,8080,ua,http,elite
freeproxylist,41.76.150.154,65205,mz,http,elite
freeproxylist,41.169.72.116,53281,za,http,elite
freeproxylist,91.206.33.47,41258,ua,http,elite
freeproxylist,213.222.44.58,53281,bg,http,elite
freeproxylist,176.31.69.92,80,fr,http,anonymous
freeproxylist,185.93.3.70,8080,cz,http,anonymous
freeproxylist,84.253.107.110,41258,ru,http,elite
freeproxylist,121.52.157.23,8080,pk,http,anonymous
freeproxylist,61.8.69.194,53281,id,http,elite
freeproxylist,35.199.109.199,8080,us,http,anonymous
freeproxylist,43.252.158.170,53281,id,http,elite
freeproxylist,46.8.126.251,53281,ru,http,elite
freeproxylist,189.250.157.69,53281,mx,http,elite
freeproxylist,181.40.126.134,8080,py,http,elite
